track_id,track_name,artist_id,artist_name
6nmVeODcBpsGKx5RPv003D,Feel Again,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
5zF2zGPkL6Ipsn9AfAK6RP,This Love,04gDigrS5kc9YWfZHwBETP,Maroon 5
5u7JGFtQNT0Zj7TOykBS7s,White Sky,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend
1begl8Bjbo8q1eVtr5XGOV,Mlàdek,0AZ3VR0YbFcS0Kgei7L2QF,Russian Circles
4iHh9ftZKEtTmqnEYuWlm6,I: Ferocious Body,4kcBC4iBlBVFSutQ2FcWkG,Born Gold
4E5PB55vLwQPIO1OvpU53S,Sleep Alone,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club
6HFbq7cewJ7rPiffV0ciil,A Sky Full of Stars,4gzpq5DPGxSnKTe4SA8HAU,Coldplay
3G6hD9B2ZHOsgf4WfNu7X1,Team,163tK9Wjr9P9DmM0AVK7lm,Lorde
3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,7oPftvlwr6VrsViSDV7fJY,Green Day
0c4IEciLCDdXEhhKxj4ThA,Madness,12Chz98pHFMPJEknJQMWvI,Muse
0UrWr7Jnu1heq1o99ZwUd0,Youth of the Nation,6KO6G41BBLTDNYOLefWTMU,P.O.D.
2rjOaGr1mcTYePllS8crRf,Ruby,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs
1JBa9B1iA4yNVpJ5wVGrZH,From Yesterday,0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars
6GN5zYolF7fqhb1w0ujqj5,Miracle,4W48hZAnAHVOC2c8WH8pcq,The Temper Trap
4W2KFrtcc1hUqoDzYCxSuG,It's About Time,4j56EQDQu5XnL7R3E9iFJT,Young the Giant
2aCsRmHTuWPL7WnL5uSijc,Miss You,7gP3bB2nilZXLfPHJhMdvc,Foster The People
42BAwiGC1egjbiJ6y512Tz,Turning Page,0MeLMJJcouYXCymQSHPn8g,Sleeping At Last
